epoch,lr,train_total,char,ssim,perc,color,grad,tv,val_psnr,val_ssim,sec
33,3.5273298394491515e-06,0.4692748871653579,0.1395823957701755,0.29443248447983766,1.8490416227385056,0.08715133514082016,0.25658903972700586,0.03916002010796652,-1.0,-1.0,86.29318189620972
34,3.250000000000001e-06,0.46713943987391715,0.14163971839602604,0.29172483883624856,1.8213647021803745,0.08915171533996283,0.25308188627105815,0.03859144555361465,20.339992784885816,0.7965994477272034,385.59013271331787
35,2.9836319343816397e-06,0.4680863372808279,0.13947969012308953,0.2946775066991185,1.8396224282508673,0.0873105846518694,0.25546334961126016,0.039147298241597274,-1.0,-1.0,86.12256193161011
36,2.729523361034538e-06,0.47073327299467355,0.14228320628577887,0.29333695734656134,1.841288414112357,0.08930706401723762,0.25540180642937504,0.038720799794117376,-1.0,-1.0,86.26733112335205
37,2.4889122713851384e-06,0.4653094208171201,0.13953420602131722,0.2917408811491589,1.8261238038539886,0.08744848111297848,0.2524691411229067,0.03871547115620139,-1.0,-1.0,86.27818512916565
38,2.26297089847607e-06,0.47003501463075015,0.14206094203820063,0.29409537551014925,1.8368628558724425,0.08789923556452227,0.25441052816634957,0.039104870065700174,-1.0,-1.0,86.33293628692627
39,2.0528000059646e-06,0.4689595202027365,0.14205290580731492,0.2908217913882677,1.838424990343493,0.08828918395434009,0.2530662954113511,0.03949264113163186,20.44277414205673,0.7972314357757568,385.02804470062256
40,1.8594235253127373e-06,0.46893166612054027,0.14185327434435832,0.29329132964444715,1.8307094664074655,0.08867981860977273,0.25406288905718993,0.03867354765967574,-1.0,-1.0,86.34637236595154
41,1.6837835672960834e-06,0.4683151239919108,0.14168842106537763,0.29319460897944694,1.8293746772200563,0.08809486191806405,0.2527470886707306,0.038834216430523365,-1.0,-1.0,86.21645164489746
42,1.5267358321348297e-06,0.4644238569362219,0.13908942663219087,0.2907316542642061,1.8255885402823604,0.08664994660851567,0.25222782487439555,0.03890059758410897,-1.0,-1.0,86.08962607383728
43,1.3890454406082968e-06,0.4686493767035562,0.14204333683605805,0.29178212513757307,1.8322201856347018,0.08856451983541944,0.25320323123488314,0.03902520982245373,-1.0,-1.0,86.24649500846863
44,1.2713832064634127e-06,0.4643718148040217,0.13815289200825054,0.28978524824907614,1.8345848245676173,0.08678064285236042,0.25353825464844704,0.03890881800027781,20.02113685196398,0.7919883131980896,384.49674797058105
45,1.174322368277566e-06,0.46463537701340607,0.13939168763368628,0.2906238627295161,1.8259485176829404,0.08775204972385667,0.2514770960565223,0.03893251481011163,-1.0,-1.0,86.29038739204407
46,1.0983357966978744e-06,0.46287094628395037,0.1388606338566819,0.29169209474741026,1.8126505537088526,0.08704536416849425,0.2505292078090269,0.0389755105404833,-1.0,-1.0,86.14971709251404
47,1.0437936906629338e-06,0.4659043358162392,0.13911691143415694,0.2919083570325097,1.8344324016293814,0.0872035774423979,0.2531650506046622,0.03892422573597625,-1.0,-1.0,86.21849012374878
48,1.010961773830791e-06,0.4583840245424315,0.13427153758184854,0.2903938542964847,1.8194940727810527,0.08286928948621418,0.250606574334724,0.039006781157885875,-1.0,-1.0,86.30517220497131
49,1e-06,0.4655946850083595,0.13935794074868046,0.2920386898656224,1.8305142663939054,0.08706288762000758,0.25220444010094156,0.038983698197922044,20.020347517236203,0.7922676801681519,385.02507996559143
