epoch,lr,train_total,char,ssim,perc,color,grad,tv,val_psnr,val_ssim,sec
0,2.08e-06,0.6459791890757028,0.1932233280480601,0.3879877900661424,2.3842251966165944,0.10374185241498919,0.45018688346757446,0.13562615438862596,-1.0,-1.0,87.38107824325562
1,4.06e-06,0.5980644239935764,0.18299136020589707,0.3653698418029519,2.213719122631605,0.10646941980650258,0.3838012997320918,0.10032293612007485,-1.0,-1.0,86.15003561973572
2,6.04e-06,0.5497302033526953,0.17371975777800694,0.34286447735719905,2.0321437418460846,0.10319752800603245,0.3176853823540516,0.06198834532568621,-1.0,-1.0,86.24300503730774
3,8.02e-06,0.5317404594185741,0.16887720154468402,0.33251493198927057,1.979052831960279,0.1015997946175725,0.29543890700090764,0.0517859177360701,-1.0,-1.0,86.0020580291748
4,1e-05,0.511645203759504,0.15837108179233794,0.32312739623147385,1.9399868319200915,0.09615359354634272,0.28306866250932217,0.04578985764406795,22.47426299138124,0.8140722513198853,387.39831948280334
5,9.98903822616921e-06,0.5098080891509389,0.15918830725862537,0.3187177004509194,1.9354704181815303,0.09661801394378376,0.2786894006611303,0.04443220199670556,-1.0,-1.0,86.34283661842346
6,9.956206309337067e-06,0.49831712488518204,0.15231953466007875,0.3132133788840715,1.9158865968848384,0.09307525677303242,0.2747005394031835,0.042551997854092784,-1.0,-1.0,86.17133569717407
7,9.901664203302126e-06,0.4982277420024539,0.15397322593733323,0.3098226539617361,1.916929354501325,0.09364316666628732,0.270553856958137,0.04109232033451283,-1.0,-1.0,86.07700705528259
8,9.825677631722436e-06,0.49546356178646866,0.15360597131210704,0.3095926954302677,1.8945400229720182,0.09486664064921611,0.2699153983402391,0.039967971171663945,-1.0,-1.0,86.30200052261353
9,9.728616793536588e-06,0.491774984743706,0.15248506962386674,0.3079658098692118,1.8784451249033907,0.0948411638436969,0.26761394799795263,0.0395402061363119,22.12401383801754,0.8176432847976685,384.4852135181427
10,9.610954559391703e-06,0.49101737834686454,0.15072854855206125,0.30782965865246087,1.8912207622860753,0.09322001024820777,0.26687358744269196,0.03910661605728227,-1.0,-1.0,86.16645526885986
11,9.47326416786517e-06,0.48778161077305326,0.1500344693140928,0.30470549193925633,1.878947766714318,0.0928848555614782,0.2650889081577229,0.03893416839500153,-1.0,-1.0,86.25411629676819
12,9.316216432703914e-06,0.4869895904909733,0.1475817289549944,0.30452104744523073,1.8940581596174906,0.09147178624258485,0.26641031060107917,0.039503733854914125,-1.0,-1.0,86.27412748336792
13,9.140576474687262e-06,0.48317892745483754,0.14665427847310555,0.30391469216623973,1.8707097921260567,0.09117798336110143,0.2647194311369297,0.03882332471047723,-1.0,-1.0,86.07949948310852
14,8.947199994035399e-06,0.48475145964428434,0.14880057983100414,0.30229113095028454,1.8716537217761195,0.09291354761740496,0.26340782061912293,0.03854596689560039,21.677457584078343,0.812416672706604,384.8147940635681
15,8.737029101523928e-06,0.4817165370250857,0.14631157008887724,0.30337865823923155,1.8666300038958705,0.09028927786925504,0.26223507224647113,0.038344236827173896,-1.0,-1.0,86.27948641777039
16,8.51108772861486e-06,0.4774376595782679,0.1455321691410486,0.29900258225063947,1.8519217420456022,0.089827228164257,0.25884316246523414,0.03762715238384729,-1.0,-1.0,86.25413227081299
17,8.270476638965461e-06,0.4808342070427052,0.14554138278025527,0.30036412526008693,1.8754690386528192,0.0911204588794431,0.2615491176933743,0.038541596133781726,-1.0,-1.0,86.34287714958191
18,8.01636806561836e-06,0.4827788203608158,0.14843318022267762,0.2998018278632053,1.8684124329755472,0.09163319629205521,0.26106843036101307,0.03842486651224453,-1.0,-1.0,86.36275219917297
19,7.749999999999999e-06,0.476145850364552,0.14344852079832277,0.29729016437086947,1.8642984996008318,0.0891687552942786,0.25928191875302514,0.03828012473274802,21.395505899195147,0.8082523941993713,385.4198293685913
