split,image,psnr,ssim,lpips,runtime_s
eval15,1.png,18.40278850586547,0.8415413776265107,,3.222477674484253
eval15,111.png,13.783937196468926,0.7602340412848944,,2.9053075313568115
eval15,146.png,21.868195073485545,0.8411791011714196,,2.9238953590393066
eval15,179.png,16.403124598182302,0.6885391897490827,,2.9740304946899414
eval15,22.png,19.297231424556603,0.8345129485920285,,2.9837183952331543
eval15,23.png,14.63435043623136,0.7352574733565843,,3.0031070709228516
eval15,493.png,16.45224532532598,0.5458378863656104,,3.0064210891723633
eval15,547.png,16.630077238882073,0.7394674387347079,,3.01969313621521
eval15,55.png,14.387541149641068,0.7505026604948176,,3.0219733715057373
eval15,665.png,22.856764453440633,0.7493353982105254,,3.0101561546325684
eval15,669.png,22.3913232480599,0.8080189390274669,,3.0062665939331055
eval15,748.png,22.966304477587297,0.8114883033799187,,3.007152795791626
eval15,778.png,20.550532668867213,0.7006659994055197,,2.996601104736328
eval15,780.png,22.761380070969945,0.7096678753394355,,2.963823080062866
eval15,79.png,13.970461149849605,0.7958364753297203,,2.946962356567383
lolv2_real,low00690.png,27.359434845596198,0.808056383629988,,2.9543495178222656
lolv2_real,low00691.png,26.19172515875738,0.7632135547142541,,2.9343185424804688
lolv2_real,low00692.png,25.596390619924193,0.8516189826382146,,2.9200730323791504
lolv2_real,low00693.png,25.642963610191277,0.8556131484090493,,2.921753406524658
lolv2_real,low00694.png,24.892292925246547,0.8308345795308082,,2.932102918624878
lolv2_real,low00695.png,24.94134188501206,0.8313064196623042,,2.9174697399139404
lolv2_real,low00696.png,22.815306070896927,0.7566529212042624,,2.920903205871582
lolv2_real,low00697.png,22.48142541646707,0.7425964143698262,,2.906684398651123
lolv2_real,low00698.png,22.933982862668007,0.7280146270301934,,2.918750762939453
lolv2_real,low00699.png,22.44937968348989,0.7092237372105615,,2.920396089553833
lolv2_real,low00700.png,21.26665352437915,0.7349056756857079,,2.9141242504119873
lolv2_real,low00701.png,21.39335059718229,0.7455626397123893,,2.921191692352295
lolv2_real,low00702.png,18.314296462965746,0.811104983783229,,2.919628858566284
lolv2_real,low00703.png,18.327945983226705,0.8136090813647563,,2.9237594604492188
lolv2_real,low00704.png,18.23972863590039,0.8078315560394005,,2.9263670444488525
lolv2_real,low00705.png,19.915317371445067,0.7669825083487319,,2.923490285873413
lolv2_real,low00706.png,20.027652972306473,0.7724521223191875,,2.9253618717193604
lolv2_real,low00707.png,20.12213685582097,0.7688840339187551,,2.912374973297119
lolv2_real,low00708.png,24.47687380485742,0.7842391296960004,,2.924717903137207
lolv2_real,low00709.png,24.161630038496934,0.7907973739244744,,2.9208130836486816
lolv2_real,low00710.png,25.203622573292982,0.8778102769179005,,2.9448354244232178
lolv2_real,low00711.png,25.68778429348187,0.8795957971805,,2.942568302154541
lolv2_real,low00712.png,14.035111315252138,0.812112458600927,,2.9237260818481445
lolv2_real,low00713.png,14.075228029022584,0.812621813383925,,2.94448184967041
lolv2_real,low00714.png,24.547912094757407,0.8725216893323298,,2.965804100036621
lolv2_real,low00715.png,24.93193796893884,0.875317823363266,,2.971431255340576
lolv2_real,low00716.png,20.492701504867412,0.8464870747007277,,2.957606792449951
lolv2_real,low00717.png,19.435400186337848,0.7442483413654829,,2.985487222671509
lolv2_real,low00718.png,28.099362161079068,0.8991775312331324,,2.9858548641204834
lolv2_real,low00719.png,28.22535675744014,0.9041867224754127,,2.9785196781158447
lolv2_real,low00720.png,16.06016088815045,0.7802118298041285,,3.001823902130127
lolv2_real,low00721.png,18.258691047771983,0.8151872489655135,,2.993180751800537
lolv2_real,low00722.png,19.131956488650378,0.8619486992430287,,2.983084201812744
lolv2_real,low00723.png,19.08563258291086,0.860852836776162,,2.9805519580841064
lolv2_real,low00724.png,19.102513109286058,0.7608768838568513,,2.9828920364379883
lolv2_real,low00725.png,19.06358603844725,0.7804023255844575,,2.9706099033355713
lolv2_real,low00726.png,19.98663604193085,0.8488882223691722,,2.985682249069214
lolv2_real,low00727.png,20.262880471463557,0.8847006250179857,,2.9769108295440674
lolv2_real,low00728.png,19.674806404110527,0.8055636008414128,,2.980609655380249
lolv2_real,low00729.png,30.356236721935375,0.9154589275616214,,2.9598758220672607
lolv2_real,low00730.png,29.222481277147047,0.9168847782179222,,2.9613332748413086
lolv2_real,low00731.png,27.80976000967233,0.8926261615224291,,2.969208002090454
lolv2_real,low00732.png,27.1946418665986,0.8888017426470077,,2.9685709476470947
lolv2_real,low00733.png,29.55404510461876,0.8917238758283549,,2.949939727783203
lolv2_real,low00734.png,29.3654565803454,0.8913867650108555,,2.9491164684295654
lolv2_real,low00735.png,25.230563378824126,0.8374436832203154,,2.9684109687805176
lolv2_real,low00736.png,25.439804424512673,0.8466800013741671,,2.963797092437744
lolv2_real,low00737.png,29.62464141432386,0.8601810520864476,,2.950075149536133
lolv2_real,low00738.png,29.640133101044107,0.8661966839884562,,2.9338653087615967
lolv2_real,low00739.png,25.385929630089503,0.8065261247998731,,2.9472854137420654
lolv2_real,low00740.png,25.25293399937295,0.8048922059972731,,2.952601194381714
lolv2_real,low00741.png,29.888394845375007,0.8214422811052055,,2.948490619659424
lolv2_real,low00742.png,25.62587230013445,0.6899636908720694,,2.9490840435028076
