split,image,psnr,ssim,lpips,runtime_s
eval15,1.png,18.46156431720762,0.8422397976045537,0.1497732400894165,1.9717941284179688
eval15,111.png,13.861320273940041,0.7621009671550084,0.26884299516677856,0.3923184871673584
eval15,146.png,21.73208364292846,0.8396822783463692,0.14408057928085327,0.39081358909606934
eval15,179.png,16.27807350045116,0.687963352108306,0.25872910022735596,0.3938026428222656
eval15,22.png,19.21447215328606,0.8340706650267725,0.20998603105545044,0.39380931854248047
eval15,23.png,14.624297587528694,0.7334012979269069,0.37235763669013977,0.3949546813964844
eval15,493.png,16.631221702476587,0.5495251413458124,0.2566123902797699,0.39406800270080566
eval15,547.png,16.739992014092056,0.7429235325300088,0.28737592697143555,0.39340710639953613
eval15,55.png,14.33091915328281,0.7504635121866804,0.3058792054653168,0.39405345916748047
eval15,665.png,22.842518115425943,0.7437496063949252,0.33424508571624756,0.3943138122558594
eval15,669.png,22.929253024520932,0.8100915604739777,0.271244078874588,0.3971869945526123
eval15,748.png,23.155617124549043,0.8124551533899137,0.2097640186548233,0.3941500186920166
eval15,778.png,20.552834285439346,0.700715259601516,0.259197473526001,0.39751267433166504
eval15,780.png,22.789326979420174,0.7093404184371389,0.267292857170105,0.3938112258911133
eval15,79.png,14.099309732765262,0.7991364737560597,0.19352971017360687,0.3948094844818115
lolv2_real,low00690.png,27.351197736279154,0.807774739815414,0.1430484801530838,0.39464759826660156
lolv2_real,low00691.png,26.214989782609234,0.7635289826828533,0.1481553167104721,0.39434123039245605
lolv2_real,low00692.png,25.552037992495137,0.8495739319570924,0.12542062997817993,0.39580464363098145
lolv2_real,low00693.png,25.77561130191051,0.8567699974508843,0.12208554148674011,0.40087246894836426
lolv2_real,low00694.png,24.924978003014793,0.83174234346701,0.15907853841781616,0.3995025157928467
lolv2_real,low00695.png,24.8576233156792,0.8314806891089894,0.1602477729320526,0.3988525867462158
lolv2_real,low00696.png,22.96307277095389,0.7586547794859757,0.2321990430355072,0.39972352981567383
lolv2_real,low00697.png,22.630847949419838,0.7447043412451344,0.24125126004219055,0.39955568313598633
lolv2_real,low00698.png,23.459323882834504,0.7314332934492458,0.3969307243824005,0.39638519287109375
lolv2_real,low00699.png,23.020254062754137,0.7096161510628424,0.40795379877090454,0.39983081817626953
lolv2_real,low00700.png,21.32641085279081,0.7360719236796962,0.19633467495441437,0.39978909492492676
lolv2_real,low00701.png,21.5362833066777,0.7480379193753821,0.18950848281383514,0.4022989273071289
lolv2_real,low00702.png,18.3361147752267,0.8131704967686469,0.24498362839221954,0.4000699520111084
lolv2_real,low00703.png,18.309801611843337,0.813715735584919,0.2461506575345993,0.4027669429779053
lolv2_real,low00704.png,18.218006313327194,0.8087809493445303,0.25094714760780334,0.4002561569213867
lolv2_real,low00705.png,20.046961362306583,0.7694596588592674,0.3391609191894531,0.4018118381500244
lolv2_real,low00706.png,19.86191597927116,0.76533392236857,0.346544086933136,0.40166759490966797
lolv2_real,low00707.png,20.184985999386686,0.7696675133318577,0.32871419191360474,0.40074658393859863
lolv2_real,low00708.png,24.21587335946462,0.7845296871392887,0.23743128776550293,0.40188050270080566
